Code,Reporting Code,Name,Type,Tax Code,Description,Reporting Name
200,REV.TRA.GOO,Sales,Revenue,GST on Income,Income from any normal business activity,
210,REV.TRA.SER,Service Income,Revenue,GST on Income,,
220,REV.TRA.SER,Consulting Income,Revenue,GST on Income,,
240,REV.INV.REN,Rental Income,Other income,GST Free Income,Residential rental income,
250,REV.INV.DIV,Dividends Received,Other income,GST Free Income,Dividend income,
260,REV.OTH,Other Revenue,Other income,GST on Income,Any other income that does not relate to normal business activities and is not recurring,
265,REV.GRA.GOV,Government Grants,Other income,GST Free Income,"A grant is a contribution, gift, or subsidy (in cash or kind) bestowed to the entity (grantee) by a government or other organisation (grantor) for specified purposes. Grants are usually conditional upon certain qualifications such as its use and maintenance of specified standards.",
270,REV.INV.INT,Interest Income,Other income,GST Free Income,Interest income,
280,REV.OTH.COM,Commissions Received,Other income,GST on Income,,
281,REV.OTH.CAP,Capital Gain/(Loss) on Disposal of Asset,Other income,BAS Excluded,,
282,REV.OTH.GAI,Gain/(Loss) on Sale of Non-Current Asset,Other income,BAS Excluded,,
283,REV.OTH.INV,Gain/(Loss) on Disposal of Investments,Other income,BAS Excluded,,
284,REV.OTH,Employee Contribution,Other income,BAS Excluded,,
285,REV.NON,Non Taxable Income,Other income,BAS Excluded,Any income received that is exempt from tax.,
286,REV.OTH,Trust Distributions Received,Other income,BAS Excluded,,
288,REV.OTH,Partnership Distributions Received,Other income,BAS Excluded,,
289,REV.OTH,FBT Reimbursement Income,Other income,BAS Excluded,,
320,EXP.COS.OPE,Opening Stock,Direct Costs,BAS Excluded,Opening stock levels,
330,EXP.COS.WPO,Opening WIP,Direct Costs,BAS Excluded,Opening Work In Progress,
351,EXP.COS.PUR,Purchases,Direct Costs,GST on Expenses,,
352,EXP.COS,Freight & Delivery,Direct Costs,GST on Expenses,,
370,EXP.COS.WPC,Closing WIP,Direct Costs,BAS Excluded,Closing Work In Progress,
380,EXP.COS.CLO,Closing Stock,Direct Costs,BAS Excluded,Closing stock levels,
392,EXP.FOR.UGL,Unrealised Foreign Currency Gains & Losses,Expense,BAS Excluded,,
