Code,Reporting Code,Name,Type,Tax Code,Description,Reporting Name
105,REV.TRA.GOO,Sale of  Goods,Sales,GST on Income,Trading accounts,
1100,EXP.COS.OPE,Opening Raw Materials,Direct Costs,BAS Excluded,Trading accounts,
1108,EXP.COS.OPE,Opening Finished Goods,Direct Costs,BAS Excluded,Trading accounts,
1115,EXP.COS.PUR,Purchases,Direct Costs,GST on Expenses,Trading accounts,
1126,EXP,Goods for Own Use,Direct Costs,GST Free Expenses,Trading accounts,
1130,EXP.COS.CLO,Closing Raw Materials,Direct Costs,BAS Excluded,Trading accounts,
1135,EXP.COS.WPC,Closing Work in Progress,Direct Costs,BAS Excluded,Trading accounts,
1138,EXP.COS.CLO,Closing Finished Goods,Direct Costs,BAS Excluded,Trading accounts,
1160,EXP.COS,Direct Labour,Direct Costs,BAS Excluded,Trading accounts,
1165,EXP.COS,"Contr, S/Contr & Commission (1165)",Direct Costs,GST on Expenses,Trading accounts,
1510,EXP.PRO,Accountancy,Expense,GST on Expenses,,
1515,EXP.ADV,Advertising & Promotion,Expense,GST on Expenses,,
1518,EXP.PRO,Agency Fees,Expense,GST on Expenses,,
1525,EXP.AMO,Amortisation Expense,Expense,BAS Excluded,,
1535,EXP.PRO,Audit Fees,Expense,GST on Expenses,,
1536,EXP.PRO,Auditors - Other Services,Expense,GST on Expenses,,
1540,EXP.BAD,Bad Debts,Expense,BAS Excluded,,
1545,EXP.ADM,Bank Fees & Charges,Expense,GST Free Expenses,,
1550,EXP.INT,Borrowing Expenses,Expense,GST Free Expenses,,
1555,EXP,Crates & Packing,Expense,GST on Expenses,,
1560,EXP,Casual Labour,Expense,BAS Excluded,,
1565,EXP.OCC,Cleaning/Rubbish Removal,Expense,GST on Expenses,,
1575,EXP,Commissions,Expense,GST on Expenses,,
1576,EXP,Commissions - Assoc Persons,Expense,GST on Expenses,,
1580,EXP,Conference/Seminar Costs,Expense,GST on Expenses,,
1585,EXP,Consultants Fees,Expense,GST on Expenses,,
1590,EXP,Contract Payments,Expense,GST on Expenses,,
1605,EXP,Debt Collection,Expense,GST on Expenses,,
1610,EXP,Delivery,Expense,GST on Expenses,,
1615,EXP.DEP,Depreciation - Plant,Expense,BAS Excluded,,
1616,EXP.DEP,Depreciation - Buildings,Expense,BAS Excluded,,
1617,EXP.DEP,Depreciation - Other,Expense,BAS Excluded,,
1618,EXP.AMO,Amortisation,Expense,BAS Excluded,,
1619,EXP.IMP,Write-Down to Recoverable Amount,Expense,BAS Excluded,,
1625,EXP.EMP,Directors Fees,Expense,BAS Excluded,,
1630,EXP.EMP.WAG,Directors Salaries,Expense,BAS Excluded,,
1635,EXP,Disbursements,Expense,GST on Expenses,,
1640,EXP,Discounts Allowed,Expense,BAS Excluded,,
1645,EXP,Donations,Expense,BAS Excluded,,
1655,EXP.UTI,Electricity,Expense,GST on Expenses,,
1660,EXP.ENT,Entertainment,Expense,GST on Expenses,,
1665,EXP,Environmental Protection,Expense,GST on Expenses,,
1670,EXP,"Contr, S/Contr & Commission (1670)",Expense,GST on Expenses,,
1675,EXP.ADM,Fees & Charges,Expense,GST on Expenses,,
1685,EXP.ADM,Filing Fees,Expense,GST Free Expenses,,
1690,EXP,Fines,Expense,GST on Expenses,,
1705,EXP.FBT,Fringe Benefits Tax,Expense,BAS Excluded,,
1710,EXP,Fuel & Oil,Expense,GST on Expenses,,
1715,EXP.ADM,General Expenses,Expense,GST on Expenses,,
1735,EXP.UTI,Heating,Expense,GST on Expenses,,
1740,EXP.REN,Hire/Rent of Plant & Equipment,Expense,GST on Expenses,,
1745,EXP.INT,Hire Purchase Charges,Expense,GST on Expenses,,
1748,EXP.EMP,Holiday Pay,Expense,BAS Excluded,,
1750,EXP.OCC,Home Office,Expense,GST on Expenses,,
1755,EXP.INS,Insurance,Expense,GST on Expenses,,
1760,EXP.INT,Interest Expense - Australia,Expense,GST Free Expenses,,
1761,EXP.INT,Interest Expense - Overseas,Expense,GST Free Expenses,,
1763,EXP.INT,Interest Deductions,Expense,GST Free Expenses,,
1765,EXP,Journals & Periodicals,Expense,GST on Expenses,,
1768,EXP,Land Degradation Expenses,Expense,GST on Expenses,,
1770,EXP,Laundry,Expense,GST on Expenses,,
1775,EXP.REN,Lease Payments,Expense,GST on Expenses,,
1776,EXP.REN,Lease Payments - Realty,Expense,GST on Expenses,,
1777,EXP.REN,Lease Payments - Overseas,Expense,GST on Expenses,,
1780,EXP.PRO,Legal Fees,Expense,GST on Expenses,,
1790,EXP.UTI,Light & Power,Expense,GST on Expenses,,
1795,EXP,Livestock Expenses,Expense,GST on Expenses,,
1797,EXP.EMP,Long Service Leave,Expense,BAS Excluded,,
1798,EXP,Management Fees,Expense,GST on Expenses,,
1800,EXP,Materials & Supplies,Expense,GST on Expenses,,
1803,EXP.VEH,M/V Car - Depreciation,Expense,BAS Excluded,,
1804,EXP.VEH,M/V Car - Fuel & Oil,Expense,GST on Expenses,,
1805,EXP.VEH,M/V Car - Interest,Expense,BAS Excluded,,
1806,EXP.VEH,M/V Car - Lease,Expense,GST on Expenses,,
1807,EXP.VEH,M/V Car - Rego/Insurance,Expense,GST on Expenses,,
1808,EXP.VEH,M/V Car - Repairs,Expense,GST on Expenses,,
1809,EXP.VEH,M/V Car - Other,Expense,GST on Expenses,,
1810,EXP.VEH,M/V Commercial - Depreciation,Expense,BAS Excluded,,
1811,EXP.VEH,M/V Commercial - Fuel & Oil,Expense,GST on Expenses,,
1812,EXP.VEH,M/V Commercial - Interest,Expense,BAS Excluded,,
1813,EXP.VEH,M/V Commercial - Lease,Expense,GST on Expenses,,
1814,EXP.VEH,M/V Commercial - Reg/Insurance,Expense,GST on Expenses,,
1815,EXP.VEH,M/V Commercial - Repairs,Expense,GST on Expenses,,
1816,EXP.VEH,M/V Commercial - Other,Expense,GST on Expenses,,
1817,EXP.VEH,M/V Other - Depreciation,Expense,BAS Excluded,,
1818,EXP.VEH,M/V Other - Fuel & Oil,Expense,GST on Expenses,,
