*Code,Report Code,*Name,Reporting Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments,Balance
,LIA.CUR.PAY,Business Credit Card,,Bank,BAS Excluded,,No,No,No,
,ASS.CUR.CAS.BAN,Business Everyday Account,,Bank,BAS Excluded,,No,No,No,
,ASS.CUR.CAS.BAN,GST & PAYG Account,,Bank,BAS Excluded,,No,No,No,
,ASS.CUR.CAS.BAN,Business Savings Account,,Bank,BAS Excluded,,No,No,No,
,ASS.CUR.CAS.BAN,Business Savings Account 2,,Bank,BAS Excluded,,No,No,No,
,ASS.CUR.CAS.BAN,Business Transaction Account,,Bank,BAS Excluded,,No,No,No,
200,REV.TRA,Sales,,Revenue,GST on Income,Income from any normal business activity,No,No,No,
259,EXP.COS.WPO,Opening Work In Progress,,Direct Costs,GST on Expenses,,No,No,No,
260,REV.TRA,Other Revenue,,Other Income,GST on Income,Any other income that does not relate to normal business activities and is not recurring,No,No,No,
261,REV.OTH.GAI,Gain on disposal of non-current assets,,Revenue,GST on Income,,No,No,No,
266,REV.OTH,Insurance Recoveries,,Other Income,GST Free Income,,No,No,No,
269,EXP.COS.WPC,Closing Work In Progress,,Direct Costs,GST on Expenses,,No,No,No,
270,REV.INV.INT,Interest Income,,Revenue,GST Free Income,Interest income,No,No,No,
280,REV.OTH.GAI,Profit/Loss on Sale of MV,,Revenue,GST on Income,,No,No,No,
301,EXP.COS,COGS Plant & Equipment Hire,,Direct Costs,GST on Expenses,,No,No,No,
302,EXP.COS,COGS Waste removal,,Direct Costs,GST on Expenses,,No,No,No,
303,EXP.COS,COGS Professional Services,,Direct Costs,GST on Expenses,,No,No,No,
304,EXP.COS,"COGS Permits, Fees, License",,Direct Costs,GST on Expenses,,No,No,No,
305,EXP.COS,COGS Home Warranty Insurance,,Direct Costs,GST on Expenses,,No,No,No,
306,EXP.COS,COGS Subcontractor,,Direct Costs,GST on Expenses,Expenses relating to contractors,No,No,No,
307,EXP.COS,COGS Materials,,Direct Costs,GST on Expenses,Expenses incurred directly to a job,No,No,No,
310,EXP.COS,Cost of Goods Sold,,Direct Costs,GST on Expenses,Cost of goods sold by the business,No,No,No,
355 01,EXP.COS,Contractors - Architectural & Drawings,,Direct Costs,GST on Expenses,,No,No,No,
355 02,EXP.COS,Contractors - Carpentry,,Direct Costs,GST on Expenses,,No,No,No,
355 03,EXP.COS,Contractors - Electrical Services,,Direct Costs,GST on Expenses,,No,No,No,
355 04,EXP.COS,Contractors - External Cladding,,Direct Costs,GST on Expenses,,No,No,No,
355 05,EXP.COS,Contractors - Flooring,,Direct Costs,GST on Expenses,,No,No,No,
355 06,EXP.COS,Contractors - Footings & Concrete,,Direct Costs,GST on Expenses,,No,No,No,
355 07,EXP.COS,Contractors - Masonry Works,,Direct Costs,GST on Expenses,,No,No,No,
355 08,EXP.COS,Contractors - Painting & Silicone,,Direct Costs,GST on Expenses,,No,No,No,
355 09,EXP.COS,Contractors - Plumbing,,Direct Costs,GST on Expenses,,No,No,No,
355 10,EXP.COS,Contractors - Roofing,,Direct Costs,GST on Expenses,,No,No,No,
355 11,EXP.COS,Contractors - Sanitaryware,,Direct Costs,GST on Expenses,,No,No,No,
355 12,EXP.COS,Contractors - Staircase,,Direct Costs,GST on Expenses,,No,No,No,
355 13,EXP.COS,Contractors - Steel,,Direct Costs,GST on Expenses,,No,No,No,
355 14,EXP.COS,Contractors - Windows & Doors,,Direct Costs,GST on Expenses,,No,No,No,
355 15,EXP.COS,Contractors - Tiling,,Direct Costs,GST on Expenses,,No,No,No,
355 16,EXP.COS,Contractors - Joinery,,Direct Costs,GST on Expenses,,No,No,No,
355 17,EXP.COS,Contractors - Internal Glazing & Fitout Items,,Direct Costs,GST on Expenses,,No,No,No,
355 18,EXP.COS,Contractors - Mechinical Services,,Direct Costs,GST on Expenses,,No,No,No,
356 01,EXP.COS,Materials - External Cladding,,Direct Costs,GST on Expenses,,No,No,No,
356 02,EXP.COS,Materials - Appliances: Gas or Combustion Fireplace,,Direct Costs,GST on Expenses,,No,No,No,
356 03,EXP.COS,Materials - Insulation & Internal Lining,,Direct Costs,GST on Expenses,,No,No,No,
356 04,EXP.COS,Materials - Kitchen Products,,Direct Costs,GST on Expenses,,No,No,No,
356 05,EXP.COS,Materials - Lights,,Direct Costs,GST on Expenses,,No,No,No,
356 06,EXP.COS,Materials - Masonry Works,,Direct Costs,GST on Expenses,,No,No,No,
356 07,EXP.COS,Materials - Mechanical Services,,Direct Costs,GST on Expenses,,No,No,No,
356 08,EXP.COS,Materials - Paint & Painting Products,,Direct Costs,GST on Expenses,,No,No,No,
356 09,EXP.COS,Materials - Sanitaryware,,Direct Costs,GST on Expenses,,No,No,No,
356 10,EXP.COS,Materials - Steel,,Direct Costs,GST on Expenses,,No,No,No,
356 11,EXP.COS,Materials - Tiling,,Direct Costs,GST on Expenses,,No,No,No,
356 12,EXP.COS,Materials - Timber,,Direct Costs,GST on Expenses,,No,No,No,
356 13,EXP.COS,Materials - Windows & Doors,,Direct Costs,GST on Expenses,,No,No,No,
356 14,EXP.COS,Materials - Joinery,,Direct Costs,GST on Expenses,,No,No,No,
357,EXP.COS,Rebates,,Direct Costs,GST on Expenses,,No,No,No,
364,EXP,Filing Fees,,Expense,GST Free Expenses,,No,No,No,
400,EXP,"Networking, Marketing and Advertising",,Expense,GST on Expenses,Expenses incurred for advertising while trying to increase sales,No,No,No,
402,EXP,Accountancy fees,,Expense,GST on Expenses,,No,No,No,
404,EXP,Bank Fees,,Expense,GST Free Expenses,Fees charged by your bank for transactions regarding your bank account(s).,No,No,No,
405,EXP,Borrowing Costs,,Expense,BAS Excluded,,No,No,No,
406,EXP,Merchant Fees,,Expense,GST on Expenses,,No,No,No,
407,EXP,"Permits, Licences & Fees",,Expense,GST on Expenses,,No,No,No,
408,EXP,Cleaning & Waste Disposal,,Expense,GST on Expenses,Expenses incurred for cleaning business property.,No,No,No,
409,EXP,Computer Expenses,,Expense,GST on Expenses,,No,No,No,
410,EXP,Client Gifts,,Expense,GST on Expenses,,No,No,No,
412,EXP,Bookkeeping,,Expense,GST on Expenses,,No,No,No,
413,EXP,Consultancy Fees,,Expense,GST on Expenses,Expenses related to paying consultants,No,No,No,
416,EXP.DEP,Depreciation,,Expense,BAS Excluded,The amount of the asset's cost (based on the useful life) that was consumed during the period,No,No,No,
417,EXP,Donations,,Expense,GST Free Expenses,,No,No,No,
420,EXP.ENT,Entertainment,,Expense,GST Free Expenses,Expenses paid by company for the business but are not deductable for income tax purposes.,No,No,No,
422,EXP,Fines & Penalties,,Expense,GST Free Expenses,,No,No,No,
423,EXP,Formation costs,,Expense,BAS Excluded,,No,No,No,
425,EXP,Freight & Courier,,Expense,GST on Expenses,Expenses incurred on courier & freight costs,No,No,No,
429,EXP,General Expenses,,Expense,GST on Expenses,General expenses related to the running of the business.,No,No,No,
